time,area
Feb_16_21_01_02,1.2408594044477947
Feb_16_21_34_07,1.2425733207190162
Feb_16_22_07_12,1.264655984919887
Feb_16_22_40_16,1.291446872645064
Feb_16_23_13_20,1.2479758990773868
Feb_16_23_46_24,1.2636552636552634
Feb_17_00_19_29,1.297256385998108
Feb_17_00_52_34,1.2923569277108435
Feb_17_01_25_39,1.3311333207618328
Feb_17_01_58_44,1.315839154238248
Feb_17_02_31_49,1.310708898944193
Feb_17_03_04_54,1.3050018804061678
Feb_17_03_37_58,1.265760664401661
Feb_17_04_11_02,1.243925409681673
Feb_17_04_44_07,1.2707275803722504
Feb_17_05_17_12,1.2328251458686241
Feb_17_05_50_17,1.277913304559955
Feb_17_06_23_21,1.2369213398569816
Feb_17_06_56_25,1.2358810240963856
